id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id0190469,2,2016-01-01 00:00:17,2016-01-01 00:14:26,5,-73.98174285888672,40.71915817260742,-73.93882751464845,40.82918167114258,N,849
id1665586,1,2016-01-01 00:00:53,2016-01-01 00:22:27,1,-73.98508453369139,40.74716567993164,-73.95803833007811,40.71749114990234,N,1294
id1210365,2,2016-01-01 00:01:01,2016-01-01 00:07:49,5,-73.9652786254883,40.80104064941406,-73.94747924804686,40.81517028808594,N,408
id3888279,1,2016-01-01 00:01:14,2016-01-01 00:05:54,1,-73.98229217529298,40.751331329345696,-73.99134063720702,40.75033950805664,N,280
id0924227,1,2016-01-01 00:01:20,2016-01-01 00:13:36,1,-73.97010803222656,40.75979995727539,-73.9893569946289,40.742988586425774,N,736
id2294362,2,2016-01-01 00:01:33,2016-01-01 00:13:25,1,-73.98499298095702,40.77389144897461,-73.93649291992188,40.84777069091797,N,712
id1078247,2,2016-01-01 00:01:37,2016-01-01 00:03:31,1,-73.97333526611328,40.76407241821289,-73.974853515625,40.761734008789055,N,114
id3609443,1,2016-01-01 00:01:47,2016-01-01 00:21:51,2,-73.99310302734375,40.75263214111328,-73.95390319824219,40.8165397644043,N,1204
id2914314,2,2016-01-01 00:02:06,2016-01-01 00:23:56,1,-73.98544311523438,40.73571014404297,-73.95748901367188,40.81161117553711,N,1310
id3675972,2,2016-01-01 00:02:45,2016-01-01 00:10:10,1,-73.99373626708984,40.74176025390625,-74.00466918945312,40.74546813964844,N,445
id0846101,2,2016-01-01 00:03:02,2016-01-01 00:07:25,1,-73.97686004638672,40.68337631225585,-73.983642578125,40.688865661621094,N,263
id0566105,2,2016-01-01 00:03:31,2016-01-01 00:26:35,1,-74.00643920898438,40.73947525024415,-73.96720123291014,40.769187927246094,N,1384
id0372520,1,2016-01-01 00:03:35,2016-01-01 00:16:25,1,-73.96978759765625,40.75758361816406,-73.95157623291014,40.75944519042969,N,770
id3968582,1,2016-01-01 00:04:42,2016-01-01 00:22:33,2,-73.9939727783203,40.740867614746094,-73.98855590820312,40.7647819519043,N,1071
id3266337,2,2016-01-01 00:04:57,2016-01-01 00:08:37,6,-73.96495056152342,40.79132080078125,-73.96601867675781,40.79969024658203,N,220
id2563820,2,2016-01-01 00:05:07,2016-01-01 00:09:54,1,-73.95951080322266,40.76280975341797,-73.96839141845702,40.7705192565918,N,287
id0400882,2,2016-01-01 00:05:08,2016-01-01 00:23:01,1,-73.96273803710938,40.77556610107422,-73.92799377441406,40.864761352539055,N,1073
id2335372,2,2016-01-01 00:05:18,2016-01-01 00:27:16,1,-73.99025726318358,40.73703384399415,-73.92808532714844,40.75789260864258,N,1318
id3956309,1,2016-01-01 00:05:35,2016-01-01 00:17:43,1,-73.9901351928711,40.74885177612305,-73.95653533935547,40.77566528320313,N,728
id0460928,2,2016-01-01 00:05:39,2016-01-01 00:13:27,3,-74.0053176879883,40.728660583496094,-73.99716186523438,40.72063064575195,N,468
id3900441,2,2016-01-01 00:06:04,2016-01-01 00:15:52,1,-73.96956634521484,40.78876495361328,-73.95708465576173,40.77068328857422,N,588
id3574841,1,2016-01-01 00:06:12,2016-01-01 00:07:13,1,-73.93579864501955,40.70730972290039,-73.93305969238281,40.70948028564453,N,61
id1904457,2,2016-01-01 00:06:22,2016-01-01 00:33:00,1,-73.97922515869139,40.75619888305664,-74.00221252441406,40.733741760253906,N,1598
